Concept,Page,dojg,hjgp
ば,1,B. 81,512
ばかり,5,B. 84,528
だけ,10,B. 93,"203, 206, 207"
だけに,13,,
だの,14,,216
だって,15,,"212, 213, 213"
で,17,"B. 105, B. 106, B. 107, B. 109",255
でも,26,B. 111,"296, 297"
どころ,29,,353
どころか,29,,
でも,30,B. 111,"296, 297"
え,30,,
が,34,"B. 118, B. 120","71, 73"
"がな,がなあ",42,,87
がてら,42,,85
は,235,B. 516,
へ,30,B. 116,
ほど,43,B. 135,567
ほか,45,,562
い,45,,
か,46,"B. 164, B. 166, B. 168",67
かい,51,B. 170,74
"かな,かなあ",52,,87
から,53,"B. 176, B. 177, B. 179","92, 94"
からして,65,,97
かしら,66,B. 181,
け,69,,
"けれども,けれど,けど,けども",70,B. 187,"116, 115, 115"
きり,73,,105
こそ,75,,118
こと,77,"B. 191, B. 193",119
"くらい,ぐらい",79,B. 212,108
くせに,81,,
まで,83,B. 225,586
までも,88,,
までに,89,B. 228,590
も,91,"B. 247, B. 250, B. 255",613
もの,98,B. 257,635
"もので,もんで",99,,
"ものか,もんか",100,,637
"ものなら,もんなら",101,,643
ものの,102,,644
ものを,103,,645
"な,なあ",105,B. 266,
"など,なんか",108,B. 267,"416, 443"
ながら,110,B. 269,406
ながらも,111,,
なんて,112,,"446, 447"
なり,113,,"435, 436, 437"
んで,115,,704
"ね,ねえ",116,B. 286,
に,118,"B. 289, B. 291, B. 292, B. 295, B. 297, B. 299, B. 302",454
にも,136,,487
にもかかわらず,137,,488
において,138,,459
にして,140,,470
にしても,140,,472
にしては,141,B. 309,471
にて,142,,480
"の,ん",143,"B. 312, B. 315, B. 318, B. 322","496, 497"
"のだ,んだ",158,B. 325,"501, 703"
"なだろう,んだろう",159,,704
"ので,んで",160,B. 328,"505, 704"
ので,162,B. 328,505
のである,163,,505
"のでしょう,んでしょう",164,,
"のです,んです",164,,"505, 704"
のみ,166,,511
のに,167,"B. 331, B. 335","508, 510"
のに,169,"B. 331, B. 335","508, 510"
を,170,"B. 347, B. 349, B. 351, B. 352",
さ,177,B. 381,
さえ,179,,134
し,180,B. 395,143
しか,182,B. 398,146
しも,183,,
すら,185,,164
なら,186,B. 281,"425, 427, 432"
たり,188,,230
たって,189,B. 461,211
て,190,B. 464,254
てば,195,,
"ても,でも",196,"B. 468, B. 111","291, 296, 297"
てね,198,,
ては,198,,276
と,200,"B. 473, B. 476, B. 478, B. 480","307, 313"
といえば,210,,324
といい,210,,315
といった,211,,326
といって,211,,327
といわず,212,,
とか,213,B. 488,"343, 344"
ところ,215,,"351, 353"
ところで,215,,358
ところへ,216,,
ところが,216,,355
ところを,217,,360
とも,218,,386
とも,220,,386
ともあれ,220,,
として,222,B. 501,362
としても,223,,364
としては,224,B. 502,364
とは,225,,381
とはいえ,226,,383
という,227,B. 486,"317, 317"
ということは,229,,
というのは(も),230,,321
というと,231,,320
って,232,"B. 507, B. 510",248
は,235,B. 516,
わ,239,B. 520,
を,170,"B. 347, B. 349, B. 351, B. 352",
や,241,"B. 535, B. 536","646, 647"
やい,246,,
やいなや,247,,
やら,248,,651
よ,251,,
より,253,"B. 564, B. 567",676
ぜ,257,,
ぞ,258,,
ずつ,259,B. 572,160
